event_hour,reports,unique_grids,mean_intensity,event_id
2020-06-16 01:00:00,17,7,4.235294117647059,EVT-0001
2020-07-06 06:00:00,10,9,4.0,EVT-0002
2020-07-06 07:00:00,13,9,4.0,EVT-0003
2020-07-23 08:00:00,11,7,3.6363636363636362,EVT-0004
2020-08-01 20:00:00,13,6,3.3846153846153846,EVT-0005
2020-08-01 21:00:00,30,15,3.9,EVT-0006
2020-08-01 22:00:00,21,14,4.190476190476191,EVT-0007
2020-08-02 20:00:00,29,10,4.0,EVT-0008
2020-08-02 21:00:00,68,22,4.088235294117647,EVT-0009
2020-08-02 22:00:00,29,15,4.0,EVT-0010
2020-08-03 22:00:00,26,10,3.576923076923077,EVT-0011
2020-08-04 02:00:00,17,15,3.8823529411764706,EVT-0012
2020-08-04 19:00:00,17,11,3.764705882352941,EVT-0013
2020-08-04 20:00:00,11,8,4.2727272727272725,EVT-0014
2020-08-04 21:00:00,12,8,4.166666666666667,EVT-0015
2020-08-04 22:00:00,14,12,4.214285714285714,EVT-0016
2020-08-06 22:00:00,10,8,3.0,EVT-0017
2020-08-06 23:00:00,19,11,3.8947368421052633,EVT-0018
2020-08-08 22:00:00,21,7,3.8095238095238093,EVT-0019
2020-08-09 19:00:00,24,8,3.7916666666666665,EVT-0020
2020-08-09 20:00:00,22,16,3.6363636363636362,EVT-0021
2020-08-09 21:00:00,16,8,4.375,EVT-0022
2020-08-09 22:00:00,16,9,3.625,EVT-0023
2020-08-10 19:00:00,22,11,3.5454545454545454,EVT-0024
2020-08-13 00:00:00,43,18,4.232558139534884,EVT-0025
2020-08-13 01:00:00,22,14,4.454545454545454,EVT-0026
2020-08-15 22:00:00,12,7,4.166666666666667,EVT-0027
2020-08-15 23:00:00,60,30,4.133333333333334,EVT-0028
2020-08-16 23:00:00,13,9,3.769230769230769,EVT-0029
2020-08-17 00:00:00,18,14,4.055555555555555,EVT-0030
2020-08-17 01:00:00,10,9,3.9,EVT-0031
2020-08-17 05:00:00,17,12,4.411764705882353,EVT-0032
2020-08-19 06:00:00,14,13,3.7857142857142856,EVT-0033
2020-08-19 07:00:00,11,10,3.727272727272727,EVT-0034
2020-08-20 01:00:00,34,13,3.7941176470588234,EVT-0035
2020-08-22 20:00:00,13,10,4.153846153846154,EVT-0036
2020-08-22 22:00:00,10,9,3.4,EVT-0037
2020-08-25 01:00:00,13,9,4.0,EVT-0038
2020-08-28 17:00:00,11,11,3.272727272727273,EVT-0039
2020-08-29 17:00:00,10,9,3.7,EVT-0040
2020-08-31 01:00:00,10,6,3.5,EVT-0041
2020-08-31 02:00:00,24,18,4.291666666666667,EVT-0042
2020-09-03 21:00:00,17,10,4.0,EVT-0043
2020-09-03 23:00:00,16,10,3.9375,EVT-0044
2020-09-04 22:00:00,23,11,3.9565217391304346,EVT-0045
2020-09-11 10:00:00,17,10,3.5294117647058822,EVT-0046
2020-09-17 08:00:00,11,8,3.909090909090909,EVT-0047
2020-09-18 21:00:00,35,18,3.857142857142857,EVT-0048
2020-09-18 22:00:00,13,9,4.230769230769231,EVT-0049
2020-09-19 22:00:00,11,6,3.909090909090909,EVT-0050
2020-09-21 22:00:00,10,5,4.0,EVT-0051
2020-10-01 21:00:00,31,18,3.838709677419355,EVT-0052
2020-10-02 00:00:00,24,17,4.291666666666667,EVT-0053
2021-06-06 19:00:00,20,16,4.2,EVT-0054
2021-06-09 19:00:00,12,12,3.9166666666666665,EVT-0055
2021-06-09 20:00:00,13,11,4.615384615384615,EVT-0056
2021-06-09 21:00:00,12,9,4.666666666666667,EVT-0057
2021-06-09 23:00:00,13,10,3.923076923076923,EVT-0058
2021-06-17 08:00:00,12,9,4.333333333333333,EVT-0059
2021-06-28 23:00:00,19,15,4.0,EVT-0060
2021-07-07 23:00:00,31,19,3.967741935483871,EVT-0061
2021-07-08 00:00:00,33,21,4.212121212121212,EVT-0062
2021-07-14 21:00:00,50,21,4.16,EVT-0063
2021-07-14 22:00:00,20,14,4.25,EVT-0064
2021-07-14 23:00:00,19,11,4.105263157894737,EVT-0065
2021-07-15 00:00:00,17,13,4.588235294117647,EVT-0066
2021-07-20 22:00:00,16,6,4.25,EVT-0067
2021-07-20 23:00:00,26,15,4.5,EVT-0068
2021-07-21 00:00:00,11,7,4.363636363636363,EVT-0069
2021-07-23 23:00:00,11,10,4.2727272727272725,EVT-0070
2021-07-25 21:00:00,14,10,4.071428571428571,EVT-0071
2021-07-25 22:00:00,10,7,4.3,EVT-0072
2021-07-26 21:00:00,15,12,3.6666666666666665,EVT-0073
2021-08-04 23:00:00,19,9,4.315789473684211,EVT-0074
2021-08-05 00:00:00,27,15,4.222222222222222,EVT-0075
2021-08-05 01:00:00,10,6,4.3,EVT-0076
2021-08-05 23:00:00,15,9,3.8666666666666667,EVT-0077
2021-08-12 21:00:00,11,9,3.272727272727273,EVT-0078
2021-08-14 22:00:00,15,9,3.8666666666666667,EVT-0079
2021-08-15 22:00:00,12,7,4.083333333333333,EVT-0080
2021-08-19 21:00:00,12,11,4.083333333333333,EVT-0081
2021-08-20 20:00:00,10,9,4.6,EVT-0082
2021-08-31 21:00:00,19,10,4.2105263157894735,EVT-0083
2021-08-31 22:00:00,19,11,4.0,EVT-0084
2021-08-31 23:00:00,15,11,4.266666666666667,EVT-0085
2021-09-13 00:00:00,12,8,4.416666666666667,EVT-0086
2021-09-21 22:00:00,16,7,4.1875,EVT-0087
2021-09-28 21:00:00,14,7,4.285714285714286,EVT-0088
2021-10-03 20:00:00,10,7,4.4,EVT-0089
2021-10-03 21:00:00,13,11,4.153846153846154,EVT-0090
2021-10-05 22:00:00,10,7,3.8,EVT-0091
2022-06-25 21:00:00,13,12,4.076923076923077,EVT-0092
2022-06-26 23:00:00,12,9,3.9166666666666665,EVT-0093
2022-06-29 21:00:00,12,7,4.5,EVT-0094
2022-06-30 23:00:00,19,12,4.315789473684211,EVT-0095
2022-07-01 00:00:00,11,8,4.7272727272727275,EVT-0096
2022-07-03 23:00:00,13,10,4.153846153846154,EVT-0097
2022-07-04 23:00:00,15,6,4.4,EVT-0098
2022-07-13 21:00:00,20,8,4.65,EVT-0099
2022-07-13 22:00:00,11,8,4.090909090909091,EVT-0100
2022-07-14 00:00:00,17,9,4.117647058823529,EVT-0101
2022-07-17 00:00:00,11,7,4.181818181818182,EVT-0102
2022-07-17 23:00:00,10,7,3.8,EVT-0103
2022-07-20 00:00:00,12,7,3.9166666666666665,EVT-0104
2022-07-23 01:00:00,16,11,4.0625,EVT-0105
2022-07-26 00:00:00,10,7,4.1,EVT-0106
2022-07-26 01:00:00,15,11,4.133333333333334,EVT-0107
2022-08-01 21:00:00,10,8,4.5,EVT-0108
2022-08-14 23:00:00,20,12,3.8,EVT-0109
2022-08-18 23:00:00,16,9,4.0,EVT-0110
2022-08-22 23:00:00,10,7,4.2,EVT-0111
